complaint_text,department,category,priority,clean_text
Pothole repair done with loose gravel which washed away in first rain.,Roads,Pothole,Medium,pothole repair done with loose gravel which washed away in first rain.
Multiple potholes near the dairy causing milk spills from delivery vehicles.,Roads,Pothole,Medium,multiple potholes near the dairy causing milk spills from delivery vehicles.
Dangerous pothole hidden under water during monsoon near the petrol pump.,Roads,Pothole,Medium,dangerous pothole hidden under water during monsoon near the petrol pump.
"My scooter tyre burst hitting pothole near the temple, please repair urgently.",Roads,Pothole,Medium,"my scooter tyre burst hitting pothole near the temple, please repair urgently."
Pothole so large near the bank that ATM van cannot park properly.,Roads,Pothole,Medium,pothole so large near the bank that atm van cannot park properly.
Series of potholes causing traffic jam every morning near the railway crossing.,Roads,Pothole,Medium,series of potholes causing traffic jam every morning near the railway crossing.
Pothole repair was done months ago but has reopened larger than before.,Roads,Pothole,Medium,pothole repair was done months ago but has reopened larger than before.
Ambulance driver complained about pothole damage while rushing patient.,Roads,Pothole,Medium,ambulance driver complained about pothole damage while rushing patient.
Chain of potholes from sector 5 to sector 8 making daily commute torture.,Roads,Pothole,Medium,chain of potholes from sector 5 to sector 8 making daily commute torture.
Pothole near the police station has been reported many times without action.,Roads,Pothole,Medium,pothole near the police station has been reported many times without action.
Deep pothole near the public toilet is very dangerous especially at night.,Roads,Pothole,Medium,deep pothole near the public toilet is very dangerous especially at night.
"Pothole damage has bent my car rim, who will compensate for this loss?",Roads,Pothole,Medium,"pothole damage has bent my car rim, who will compensate for this loss?"
"VIP road also has potholes now, even important roads are not maintained.",Roads,Pothole,Medium,"vip road also has potholes now, even important roads are not maintained."
Potholes near the college causing female students on two-wheelers to fall.,Roads,Pothole,Medium,potholes near the college causing female students on twowheelers to fall.
The road near temple is more pothole than road surface at this point.,Roads,Pothole,Medium,the road near temple is more pothole than road surface at this point.
Large pothole near the tea stall causing water splash on customers.,Roads,Pothole,Medium,large pothole near the tea stall causing water splash on customers.
Pothole near the childrens park entrance is hazard for parents with strollers.,Roads,Pothole,Medium,pothole near the childrens park entrance is hazard for parents with strollers.
Night driving near hospital is dangerous due to invisible potholes.,Roads,Pothole,Medium,night driving near hospital is dangerous due to invisible potholes.
"Pothole filled with sewage water near restaurant entrance, very unhygienic.",Roads,Pothole,Medium,"pothole filled with sewage water near restaurant entrance, very unhygienic."
Wedding procession had to change route due to pothole-filled main road.,Roads,Pothole,Medium,wedding procession had to change route due to potholefilled main road.
Pothole near the gym causing members to fall while entering on bikes.,Roads,Pothole,Medium,pothole near the gym causing members to fall while entering on bikes.
"Newspaper vendor bicycle damaged by pothole, daily income affected.",Roads,Pothole,Medium,"newspaper vendor bicycle damaged by pothole, daily income affected."
Pothole near the tuition center creating chaos during pickup time.,Roads,Pothole,Medium,pothole near the tuition center creating chaos during pickup time.
Bus conductor injured when bus hit deep pothole near the terminus.,Roads,Pothole,Medium,bus conductor injured when bus hit deep pothole near the terminus.
Pothole near the sabzi mandi causing carts to topple and vegetables to spill.,Roads,Pothole,Medium,pothole near the sabzi mandi causing carts to topple and vegetables to spill.
"Crater like pothole has formed near the overbridge pillar, structural concern.",Roads,Pothole,Medium,"crater like pothole has formed near the overbridge pillar, structural concern."
Daily milk delivery delayed because delivery boy avoids pothole-filled route.,Roads,Pothole,Medium,daily milk delivery delayed because delivery boy avoids potholefilled route.
Pothole right in front of my shop discouraging customers from entering.,Roads,Pothole,Medium,pothole right in front of my shop discouraging customers from entering.
Pothole near the wine shop causing traffic to slow down in evening.,Roads,Pothole,Medium,pothole near the wine shop causing traffic to slow down in evening.
Children cycling to school have fallen multiple times due to potholes.,Roads,Pothole,Medium,children cycling to school have fallen multiple times due to potholes.
Pothole near the bank ATM creating muddy pool that splashes on users.,Roads,Pothole,Medium,pothole near the bank atm creating muddy pool that splashes on users.
Old age home residents cannot go for walks due to pothole filled roads.,Roads,Pothole,Medium,old age home residents cannot go for walks due to pothole filled roads.
